Question_Code,Question_Text,Country,Answer,Percentage
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,2-4 nights,0.3570887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,5-7 nights,0.41243366
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,8-14 nights,0.14329037
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,15 or more nights,0.03942381
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Overnight stay,0.04776346
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Short trip,0.3570887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Medium trip,0.41243366
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Long trip,0.14329037
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Extra long trip,0.03942381
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,1 night,0.10513644
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,2-4 nights,0.41332263
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,5-7 nights,0.28491172
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,8-14 nights,0.14606742
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,15 or more nights,0.0505618
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Overnight stay,0.10513644
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Short trip,0.41332263
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Medium trip,0.28491172
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Long trip,0.14606742
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Extra long trip,0.0505618
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,1 night,0.16528239
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,2-4 nights,0.5066445199999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,5-7 nights,0.2333887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,8-14 nights,0.06810631
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,15 or more nights,0.02657807
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Overnight stay,0.16528239
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Short trip,0.5066445199999999
