Question_Code,Question_Text,Country,Answer,Percentage
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I am saving for an upcoming trip,8.064516
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I travelled the year before instead,2.150538
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I had commitments which prevented me from traveling,11.290322999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,Family or personal reason,19.892473
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,Some other reason,12.365591
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I could not afford to travel in the past 12 months,44.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I am not interested in traveling,9.5
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I am saving for an upcoming trip,8.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I travelled the year before instead,4.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I had commitments which prevented me from traveling,15.5
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,Family or personal reason,14.000000000000002
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,Some other reason,5.0
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,1 night,11.870942
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,2-4 nights,42.542614
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,5-7 nights,28.743911999999998
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,8-14 nights,11.769480999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,15 or more nights,5.073051999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Overnight stay,11.870942
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Short trip,42.542614
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Medium trip,28.743911999999998
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Long trip,11.769480999999999
